date, retail-sales
01-01-1992,118651.0
02-01-1992,118480.0
03-01-1992,117700.0
04-01-1992,118156.0
05-01-1992,118548.0
06-01-1992,118542.0
07-01-1992,119044.0
08-01-1992,119176.0
09-01-1992,120057.0
10-01-1992,120413.0
11-01-1992,120340.0
12-01-1992,121648.0
01-01-1993,122625.0
02-01-1993,121414.0
03-01-1993,120241.0
04-01-1993,122913.0
05-01-1993,123735.0
06-01-1993,123463.0
07-01-1993,125082.0
08-01-1993,124798.0
09-01-1993,125361.0
10-01-1993,125607.0
11-01-1993,126539.0
12-01-1993,127409.0
01-01-1994,126550.0
02-01-1994,128203.0
03-01-1994,130237.0
04-01-1994,130190.0
05-01-1994,129443.0
06-01-1994,130581.0
07-01-1994,130555.0
08-01-1994,131653.0
09-01-1994,132461.0
10-01-1994,133582.0
11-01-1994,133332.0
12-01-1994,133712.0
01-01-1995,133936.0
02-01-1995,131477.0
03-01-1995,132438.0
04-01-1995,132432.0
05-01-1995,133456.0
06-01-1995,134843.0
07-01-1995,134286.0
08-01-1995,135069.0
09-01-1995,135210.0
10-01-1995,134317.0
11-01-1995,135761.0
12-01-1995,136712.0
01-01-1996,134906.0
02-01-1996,136779.0
03-01-1996,137550.0
04-01-1996,137525.0
05-01-1996,138299.0
06-01-1996,137886.0
07-01-1996,137791.0
08-01-1996,137632.0
09-01-1996,139034.0
10-01-1996,139735.0
11-01-1996,139233.0
12-01-1996,139529.0
01-01-1997,140201.0
02-01-1997,141153.0
03-01-1997,141528.0
04-01-1997,140472.0
05-01-1997,139418.0
06-01-1997,141109.0
07-01-1997,142583.0
08-01-1997,142605.0
09-01-1997,142873.0
10-01-1997,142313.0
11-01-1997,142511.0
12-01-1997,142881.0
01-01-1998,142955.0
02-01-1998,143015.0
03-01-1998,143878.0
04-01-1998,145491.0
05-01-1998,145803.0
06-01-1998,146788.0
07-01-1998,145472.0
08-01-1998,144663.0
09-01-1998,145902.0
10-01-1998,147986.0
11-01-1998,148867.0
12-01-1998,149957.0
01-01-1999,149889.0
02-01-1999,151500.0
03-01-1999,152104.0
04-01-1999,152186.0
05-01-1999,153455.0
06-01-1999,153885.0
07-01-1999,154443.0
08-01-1999,155733.0
09-01-1999,155731.0
10-01-1999,155751.0
11-01-1999,157343.0
12-01-1999,159871.0
01-01-2000,158325.0
02-01-2000,160012.0
03-01-2000,160931.0
04-01-2000,158599.0
05-01-2000,158525.0
06-01-2000,158782.0
07-01-2000,157863.0
08-01-2000,158030.0
09-01-2000,159878.0
10-01-2000,159245.0
11-01-2000,158455.0
12-01-2000,157956.0
01-01-2001,158789.0
02-01-2001,158394.0
03-01-2001,156985.0
04-01-2001,159188.0
05-01-2001,158768.0
06-01-2001,157795.0
07-01-2001,157556.0
08-01-2001,158632.0
09-01-2001,155016.0
10-01-2001,165845.0
11-01-2001,161753.0
12-01-2001,159924.0
01-01-2002,159543.0
02-01-2002,160143.0
03-01-2002,159250.0
04-01-2002,161089.0
05-01-2002,158747.0
06-01-2002,160007.0
07-01-2002,161325.0
08-01-2002,162133.0
09-01-2002,159519.0
10-01-2002,159810.0
11-01-2002,160597.0
12-01-2002,161687.0
01-01-2003,161691.0
02-01-2003,158588.0
03-01-2003,161134.0
04-01-2003,161354.0
05-01-2003,162061.0
06-01-2003,163641.0
07-01-2003,164805.0
08-01-2003,166834.0
09-01-2003,165280.0
10-01-2003,164851.0
11-01-2003,166771.0
12-01-2003,165718.0
01-01-2004,165998.0
02-01-2004,166788.0
03-01-2004,169381.0
04-01-2004,167296.0
05-01-2004,169481.0
06-01-2004,166733.0
07-01-2004,168455.0
08-01-2004,168592.0
09-01-2004,171006.0
10-01-2004,171247.0
11-01-2004,171015.0
12-01-2004,173122.0
01-01-2005,171553.0
02-01-2005,173090.0
03-01-2005,172750.0
04-01-2005,173765.0
05-01-2005,172790.0
06-01-2005,177593.0
07-01-2005,177822.0
08-01-2005,175067.0
09-01-2005,173016.0
10-01-2005,172826.0
11-01-2005,175328.0
12-01-2005,175369.0
01-01-2006,179293.0
02-01-2006,177887.0
03-01-2006,178100.0
04-01-2006,178088.0
05-01-2006,177200.0
06-01-2006,177343.0
07-01-2006,176937.0
08-01-2006,176983.0
09-01-2006,177002.0
10-01-2006,177544.0
11-01-2006,177854.0
12-01-2006,179089.0
01-01-2007,178736.0
02-01-2007,178237.0
03-01-2007,178850.0
04-01-2007,177844.0
05-01-2007,179408.0
06-01-2007,177651.0
07-01-2007,178039.0
08-01-2007,178824.0
09-01-2007,178794.0
10-01-2007,179401.0
11-01-2007,179696.0
12-01-2007,177019.0
01-01-2008,176853.0
02-01-2008,174826.0
03-01-2008,174630.0
04-01-2008,174146.0
05-01-2008,174731.0
06-01-2008,173112.0
07-01-2008,171238.0
08-01-2008,170234.0
09-01-2008,167550.0
10-01-2008,162654.0
11-01-2008,159205.0
12-01-2008,157093.0
01-01-2009,158979.0
02-01-2009,157766.0
03-01-2009,155179.0
04-01-2009,155777.0
05-01-2009,156911.0
06-01-2009,158240.0
07-01-2009,158582.0
08-01-2009,160908.0
09-01-2009,156817.0
10-01-2009,157801.0
11-01-2009,158527.0
12-01-2009,159226.0
01-01-2010,159109.0
02-01-2010,159625.0
03-01-2010,163034.0
04-01-2010,164423.0
05-01-2010,163033.0
06-01-2010,162876.0
07-01-2010,163068.0
08-01-2010,163640.0
09-01-2010,164767.0
10-01-2010,165990.0
11-01-2010,167220.0
12-01-2010,167472.0
01-01-2011,168195.0
02-01-2011,169025.0
03-01-2011,169730.0
04-01-2011,169723.0
05-01-2011,169132.0
06-01-2011,170515.0
07-01-2011,169904.0
08-01-2011,169761.0
09-01-2011,171122.0
10-01-2011,172041.0
11-01-2011,172292.0
12-01-2011,172335.0
01-01-2012,173647.0
02-01-2012,175354.0
03-01-2012,175543.0
04-01-2012,174633.0
05-01-2012,174615.0
06-01-2012,173090.0
07-01-2012,173958.0
08-01-2012,174970.0
09-01-2012,175510.0
10-01-2012,175089.0
11-01-2012,176168.0
12-01-2012,176879.0
01-01-2013,178014.0
02-01-2013,179183.0
03-01-2013,178282.0
04-01-2013,177748.0
05-01-2013,178732.0
06-01-2013,178773.0
07-01-2013,179691.0
08-01-2013,178867.0
09-01-2013,178922.0
10-01-2013,179499.0
11-01-2013,179704.0
12-01-2013,180196.0
01-01-2014,178184.0
02-01-2014,180434.0
03-01-2014,181956.0
04-01-2014,183385.0
05-01-2014,183385.0
06-01-2014,183609.0
07-01-2014,183727.0
08-01-2014,185124.0
09-01-2014,184719.0
10-01-2014,185428.0
11-01-2014,186228.0
12-01-2014,185686.0
01-01-2015,185900.0
02-01-2015,185154.0
03-01-2015,187363.0
04-01-2015,187586.0
05-01-2015,188268.0
06-01-2015,187978.0
07-01-2015,189151.0
08-01-2015,189126.0
09-01-2015,188846.0
10-01-2015,188106.0
11-01-2015,188653.0
12-01-2015,189661.0
01-01-2016,188354.0
02-01-2016,190613.0
03-01-2016,189384.0
04-01-2016,189272.0
05-01-2016,189605.0
06-01-2016,191085.0
07-01-2016,190743.0
08-01-2016,190673.0
09-01-2016,191454.0
10-01-2016,191366.0
11-01-2016,190969.0
12-01-2016,193121.0
01-01-2017,194317.0
02-01-2017,194036.0
03-01-2017,193644.0
04-01-2017,194165.0
05-01-2017,193344.0
06-01-2017,193992.0
07-01-2017,193920.0
08-01-2017,193547.0
09-01-2017,196499.0
10-01-2017,196605.0
11-01-2017,198105.0
12-01-2017,199081.0
01-01-2018,197492.0
02-01-2018,198214.0
03-01-2018,197742.0
04-01-2018,197759.0
05-01-2018,199646.0
06-01-2018,198758.0
07-01-2018,199980.0
08-01-2018,199605.0
09-01-2018,198430.0
10-01-2018,200095.0
11-01-2018,200779.0
12-01-2018,197321.0
01-01-2019,198560.0
02-01-2019,198723.0
03-01-2019,200396.0
04-01-2019,200016.0
05-01-2019,200875.0
06-01-2019,201164.0
07-01-2019,202685.0
08-01-2019,203435.0
09-01-2019,201778.0
10-01-2019,201908.0
11-01-2019,202404.0
12-01-2019,203631.0
01-01-2020,202590.0
02-01-2020,203150.0
03-01-2020,185986.0
04-01-2020,158936.0
05-01-2020,188739.0
06-01-2020,204144.0
07-01-2020,207562.0
08-01-2020,208194.0
09-01-2020,212234.0
10-01-2020,211216.0
11-01-2020,208900.0
12-01-2020,209971.0
01-01-2021,216756.0
02-01-2021,210489.0
03-01-2021,232367.0
04-01-2021,232706.0
05-01-2021,229239.0
06-01-2021,229751.0
07-01-2021,225150.0
08-01-2021,226423.0
09-01-2021,227139.0
10-01-2021,228650.0
11-01-2021,229279.0
12-01-2021,226346.0
01-01-2022,228319.0
02-01-2022,229691.0
03-01-2022,231975.0
04-01-2022,234066.0
05-01-2022,231644.0
06-01-2022,230686.0
07-01-2022,229110.0
08-01-2022,230431.0
09-01-2022,228859.0
10-01-2022,231097.0
11-01-2022,227373.0
12-01-2022,224411.0
01-01-2023,231650.0
02-01-2023,228166.0
03-01-2023,225911.0
04-01-2023,225929.0
05-01-2023,227171.0
06-01-2023,227142.0
07-01-2023,227955.0
08-01-2023,228468.0
09-01-2023,229525.0
10-01-2023,228767.0
11-01-2023,228338.0
12-01-2023,228728.0
01-01-2024,226130.0
